Zone,Population (2017),Evo 2015_2017 %,Dispo intérieure poulet,Exportations poulet,Importations poulet,Production poulet,Consommation poulet,PIB (US$),Index de stabilité,Taux des droits de douane
Ouganda,41166588.0,7.7,66.0,0.0,0.0,65.0,62.0,767.101705,-0.57,8.09
Pakistan,207906209.0,4.3,1282.0,4.0,2.0,1281.0,1218.0,1455.991742,-2.41,8.67
Panama,4106769.0,3.5,192.0,0.0,20.0,198.0,139.0,15146.390071,0.39,5.77
Pays-Bas,17021347.0,0.5,372.0,1418.0,608.0,1100.0,346.0,48989.638816,0.92,1.48
Pérou,31444298.0,3.2,1523.0,1.0,60.0,1465.0,424.0,6710.531503,-0.26,0.66
Philippines,105172925.0,3.0,1521.0,2.0,249.0,1272.0,1459.0,3123.244296,-1.18,1.67
Pologne,37953180.0,-0.2,1156.0,1025.0,55.0,2351.0,1150.0,13872.466907,0.52,1.48
Portugal,10288527.0,-0.8,325.0,44.0,82.0,361.0,315.0,21515.021025,1.12,1.48
République centrafricaine,4596023.0,2.3,11.0,0.0,4.0,7.0,11.0,450.900697,-2.01,16.44
République de Corée,51096415.0,0.5,854.0,6.0,137.0,838.0,854.0,31781.12332,0.32,5.48
République de Moldova,4059684.0,-0.3,66.0,0.0,16.0,54.0,66.0,2381.895178,-0.32,1.26
République dominicaine,10513104.0,2.3,375.0,6.0,42.0,339.0,371.0,7609.365034,0.16,3.9
République-Unie de Tanzanie,54660339.0,6.2,108.0,0.0,2.0,105.0,103.0,1001.160919,-0.56,8.94
Roumanie,19653969.0,-1.4,381.0,69.0,146.0,392.0,381.0,10771.150494,0.06,1.48
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,66727460.0,1.3,2234.0,359.0,779.0,1814.0,2131.0,40448.365256,0.33,1.28
Rwanda,11980961.0,5.4,19.0,0.0,0.0,19.0,18.0,772.29317,0.09,10.19
Sainte-Lucie,180954.0,1.0,11.0,0.0,10.0,1.0,10.0,11034.684894,0.99,9.08
Saint-Kitts-et-Nevis,52045.0,1.6,4.0,0.0,4.0,0.0,3.0,19155.431731,0.65,8.84
Saint-Vincent-et-les Grenadines,109827.0,0.6,8.0,0.0,9.0,0.0,8.0,7212.960181,0.89,8.97
Samoa,195352.0,1.0,15.0,0.0,17.0,0.0,13.0,4223.478963,1.18,10.38
Sao Tomé-et-Principe,207089.0,3.8,2.0,0.0,2.0,1.0,2.0,1828.194018,0.19,9.97
Sénégal,15419355.0,5.8,77.0,0.0,0.0,77.0,73.0,1361.702214,-0.05,9.07
Sierra Leone,7488423.0,4.4,30.0,0.0,14.0,17.0,30.0,499.38124,-0.04,14.05
Slovaquie,5447900.0,0.2,74.0,35.0,63.0,71.0,76.0,17510.14429,0.91,1.48
Slovénie,2076393.0,0.3,52.0,29.0,20.0,72.0,51.0,23400.712988,0.87,1.48
Soudan,40813397.0,4.9,69.0,0.0,2.0,67.0,65.0,2990.994843,-1.98,0.0
Sri Lanka,21128032.0,1.1,192.0,2.0,0.0,192.0,164.0,4138.0152,-0.07,6.28
Suède,9904896.0,1.4,187.0,23.0,84.0,157.0,164.0,54621.345824,0.98,1.48
Suisse,8455804.0,1.9,133.0,4.0,51.0,91.0,133.0,83313.013992,1.26,1.36
Suriname,570496.0,2.0,25.0,5.0,18.0,10.0,18.0,5947.369351,0.13,8.72
Tadjikistan,8880268.0,5.0,40.0,0.0,38.0,2.0,39.0,848.668435,-0.67,3.93
Tchad,15016753.0,6.4,7.0,0.0,1.0,6.0,7.0,692.16163,-1.29,16.36
Tchéquie,10641034.0,0.4,249.0,27.0,116.0,163.0,234.0,20545.836143,1.0,1.48
Thaïlande,69209810.0,0.7,881.0,796.0,2.0,1676.0,896.0,6593.81687,-0.75,3.52
Timor-Leste,1243258.0,3.9,5.0,0.0,11.0,1.0,5.0,1299.496723,0.07,2.53
Togo,7698474.0,5.1,54.0,0.0,16.0,40.0,54.0,829.700048,-0.88,10.98
